icao,airport_name,city,country,timezone_utc_offset,notes
SUMU,Carrasco Intl,Montevideo,Uruguay,-3,Regional hub
KMIA,Miami Intl,Miami,United States,-4,US Aircard rules may apply
KTEB,Teterboro,Teterboro,United States,-4,General-aviation reliever for NYC
LEMD,Adolfo Suarez Madrid-Barajas,Madrid,Spain,+2,
LFPB,Paris-Le Bourget,Paris,France,+2,Primary business-aviation airport for Paris
EGGW,London Luton,London,United Kingdom,+1,
SCEL,Comodoro A. Merino Benitez Intl,Santiago,Chile,-4,
SBGR,Sao Paulo-Guarulhos,Sao Paulo,Brazil,-3,
